Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Kāsāri,20.25,74.75,1719,520.91
Kāti,17.97,75.90,1673,506.97
Kātkūmbh,21.57,77.55,2795,846.97
Lachyan,17.28,74.97,1886,571.52
Lad,19.97,75.62,1840,557.58
Lahori,18.77,76.03,2368,717.58
Lakda,17.18,75.42,1853,561.52
Lakhmapur,20.55,74.35,1535,465.15
Lakhpuri,20.83,77.37,941,285.15
Lakhāndūr,20.73,79.85,708,214.55
Laling,20.82,74.73,1446,438.18
Lamaj,17.75,73.65,2155,653.03
Lamkane,19.13,77.67,1427,432.42
Langarpeth,17.07,74.95,2194,664.85
Lanja,16.85,73.55,544,164.85
Laohāla,20.27,76.42,1886,571.52
Lasalgaon,20.15,74.23,1906,577.58
Lassur,19.95,74.98,1663,503.94
Lasur,21.30,75.20,741,224.55
Lasur,19.95,74.98,1663,503.94
Lasurna,18.08,74.77,1755,531.82
Latur,18.40,76.58,2070,627.27
Laul,18.03,75.33,1758,532.73
Lavangi,17.05,75.63,1830,554.55
Lavori,18.77,76.03,2368,717.58
Lawha,18.93,77.13,1305,395.45
Ledva,17.42,75.30,1791,542.73
Limba,18.80,75.65,2388,723.64
Limbgaon,19.18,77.22,1200,363.64
Lingi,19.67,76.88,1420,430.30
Lohara,20.40,78.10,1489,451.21
Lohara,20.72,75.55,990,300.00
Lohara,17.98,76.33,2070,627.27
Lohara,21.27,75.92,977,296.06
Lohdongri,21.32,79.35,961,291.21
Lohgaon,18.80,77.58,1161,351.82
Lohi,20.43,77.67,1276,386.67
Lohogaon,18.60,73.92,1994,604.24
Lonand,18.03,74.18,1968,596.36
Lonar,19.98,76.53,1847,559.70
Lonauli,18.75,73.42,2047,620.30
Lonavala,18.75,73.42,2047,620.30
Lonavale,18.75,73.42,2047,620.30
Lonavla,18.75,73.42,2047,620.30
Longaon,20.05,75.90,1938,587.27
Longhar,18.72,72.95,52,15.76
Loni,20.15,74.83,1876,568.48
Loni,18.20,74.93,1814,549.70
Loni,20.78,77.67,1154,349.70
Loni,18.40,77.47,1512,458.18
Loni,19.58,74.48,1748,529.70
Loni,18.95,74.87,2112,640.00
Loni,18.23,74.40,1925,583.33
Loni,19.58,74.47,1758,532.73
Loni,18.45,74.03,2060,624.24
Loni,18.62,74.03,1909,578.48
Loni,19.58,74.47,1758,532.73
Loni,18.45,74.03,2060,624.24
Loni,18.67,74.60,1830,554.55
Loni,18.67,74.60,1830,554.55
Loni,18.95,74.87,2112,640.00
Lonsvala,18.75,73.42,2047,620.30
Lugam,19.57,79.90,498,150.91
Lādkhed,20.35,77.90,1151,348.79
Lādsāwangi,19.97,75.62,1840,557.58
Lākh,19.50,74.68,1607,486.97
Lākhanwāda,20.48,76.62,1243,376.67
Lākhni,21.07,79.82,882,267.27
Lāmbkani,21.08,74.57,1010,306.06
Lāmjan,18.13,76.58,1994,604.24
Lāndgāwāri,18.85,77.03,1597,483.94
Lāsina,19.18,77.03,1246,377.58
Lāsurne,18.08,74.77,1755,531.82
Lāthi,19.57,79.50,505,153.03
Madakhed,20.98,76.58,820,248.48
Madana,21.58,74.63,666,201.82
Madh,19.32,73.83,2332,706.67
Madh,19.15,72.83,39,11.82
Madhakhed-Bujruk,20.98,76.58,820,248.48
Madheri,20.30,78.83,721,218.48
Mahabaleshvar,17.92,73.67,4438,1344.85
Mahad,18.08,73.42,85,25.76
Mahalakshmi,18.98,72.80,0,0.00
Mahalaxmi,18.98,72.80,0,0.00
Mahaluxmi,18.98,72.80,0,0.00
Mahar,17.07,74.02,2047,620.30
Maharkhed,20.52,76.50,1525,462.12
Mahboobganj,18.98,75.77,1614,489.09
Mahbubganj,18.98,75.77,1614,489.09
Mahdal,18.45,76.75,2007,608.18
Mahikavati,19.03,72.85,32,9.70
Mahirāvani,19.97,73.65,2230,675.76
Mahurjhari,21.23,79.02,1023,310.00
Mahābaleshwar,17.92,73.67,4438,1344.85
Mahāgaon,16.15,74.33,2089,633.03
Mahāgaon,19.78,77.78,915,277.27
Mahālunge,18.49,72.94,167,50.61
Mahān,20.50,77.17,1102,333.94
Mailgaon,19.80,74.87,1669,505.76
Maindargi,17.47,76.30,1551,470.00
Maini,17.43,74.57,2368,717.58
Majgaon,17.55,74.05,2060,624.24
Maji,19.30,80.68,764,231.52
Majpuri,19.80,76.08,1564,473.94
Makardhokra,20.87,79.22,941,285.15
Makhjan,17.27,73.50,574,173.94
Mal,19.77,77.55,1709,517.88
Malabar,18.95,72.78,0,0.00
Malbar,18.95,72.78,0,0.00
Malcolm,17.92,73.67,4438,1344.85
Malewara,20.48,80.38,839,254.24
Malgaon,21.55,74.70,885,268.18
Malgaon,16.87,74.72,1902,576.36
Malgaon,20.45,74.63,1341,406.36
Malgom,17.17,73.25,0,0.00
Malgund,17.17,73.25,0,0.00
Malhana,19.55,72.72,0,0.00
Malhura,19.83,77.20,1712,518.79
Mali,18.53,73.87,1870,566.67
Malikpeth,17.88,75.65,1532,464.24
Malkot,19.05,77.47,1148,347.88
Malkāpur,20.88,76.20,839,254.24
Malkāpur,16.93,73.92,1922,582.42
Malpur,21.28,74.50,702,212.73
Malthan,18.40,74.73,1663,503.94
Malthan,18.83,74.23,2011,609.39
Malunja-Bundruk,19.52,74.72,1591,482.12
Malwan,16.07,73.47,19,5.76
Mamdapur,19.62,74.57,1696,513.94
Mamnoli,19.27,73.28,259,78.48
Man,20.77,77.48,941,285.15
Man,18.68,72.89,65,19.70
Manapur,20.42,80.20,774,234.55
Manchar,19.00,73.93,2237,677.88
Mancharpur,19.52,74.05,1988,602.42
Mandal,21.08,74.87,633,191.82
Mandal,21.28,74.35,974,295.15
Mandangad,17.98,73.25,882,267.27
Mandangarh,17.98,73.25,882,267.27
Mandar,20.00,78.97,633,191.82
Mandara,21.52,73.88,449,136.06
Mandavgan,18.82,74.83,2050,621.21
Mandhāl,20.95,79.47,849,257.27
Mandki,17.77,74.85,1935,586.36
Mandri,21.40,79.40,997,302.12
Mandrup,17.48,75.83,1499,454.24
Mandvad,20.27,74.60,1758,532.73
Mandve,18.80,72.90,164,49.70
Mandvi,18.95,72.83,101,30.61
Mandwa,17.55,73.98,3166,959.39
Mandwe,19.32,74.35,2030,615.15
Mandwe,19.32,74.33,2007,608.18
Mandāna,21.58,74.63,666,201.82
Maneri,15.70,73.97,82,24.85
Manerājuri,17.03,74.70,2083,631.21
Mangalvedha,17.52,75.47,1505,456.06
Mangaon,18.23,73.28,42,12.73
Mangaon,15.98,73.77,101,30.61
Mangrul,20.83,78.25,905,274.24
Mangrul,17.93,76.10,1863,564.55
Mangrul,19.17,73.15,88,26.67
Mangrul,20.62,77.82,984,298.18
Mangrūl,20.32,77.35,1410,427.27
Mangvadi,18.43,73.87,2401,727.58
Manjar,18.83,75.75,2437,738.48
Manjlegaon,19.15,76.23,1354,410.30
Manjrum,18.83,77.45,1249,378.48
Manjūr,18.93,74.32,2001,606.36
Mankeshwar,18.35,75.65,1771,536.67
Mankeshwar,18.15,77.03,1804,546.67
Manmād,20.25,74.45,1902,576.36
Manoharpur,19.52,74.05,1988,602.42
Manor,19.75,72.92,65,19.70
Manora,20.23,77.57,1233,373.64
Manori,19.75,72.92,65,19.70
Manori,19.20,72.78,26,7.88
Mansar,21.40,79.25,1545,468.18
Mantha,19.67,76.38,1476,447.27
Manur,19.07,75.32,1925,583.33
Manwat,19.30,76.50,1430,433.33
Manwath,19.30,76.50,1430,433.33
Marabgi,17.10,75.62,1728,523.64
Marad,18.33,72.97,13,3.94
Maravda,17.43,75.53,1528,463.03
Mardi,17.73,74.70,2312,700.61
Mardi,20.20,78.85,751,227.58
Marg,18.27,73.73,2349,711.82
Marg,17.47,73.33,518,156.97
Markākasa,20.78,80.52,1233,373.64
Maroda,19.97,80.58,1115,337.88
Maroti,20.12,79.62,833,252.42
Marpalli,19.10,80.15,396,120.00
Marve,19.18,72.80,26,7.88
Marwad,21.13,75.03,505,153.03
Marwadi,19.97,77.37,1738,526.67
Marwādi,19.97,77.37,1738,526.67
Masalga,18.13,76.45,2047,620.30
Maseli,20.78,80.43,1341,406.36
Massa,18.48,75.93,2299,696.67
Mastiholi,16.08,74.55,2188,663.03
Masur,17.40,74.17,2007,608.18
Masūra,16.17,73.50,75,22.73
Math,17.00,73.33,347,105.15
Mathagāva,17.00,73.33,347,105.15
Mathana,19.53,72.72,0,0.00
Matheran,18.98,73.27,2224,673.94
Matralipada,18.77,72.90,131,39.70
Maunda,21.15,79.40,810,245.45
Mayani,17.43,74.57,2368,717.58
Mazagaon,18.97,72.84,0,0.00
Mazagon,18.97,72.84,0,0.00
Mazgaon,18.37,72.93,206,62.42
Mazgaon,18.97,72.84,0,0.00
Medha,17.77,73.83,2316,701.82
Medha,17.20,73.92,2372,718.79
Medsi,20.33,76.93,1505,456.06
Mehekar,20.15,76.57,1768,535.76
Mehergaon,20.97,74.63,994,301.21
Mehkar,20.15,76.57,1768,535.76
Mehun,20.37,75.20,2335,707.58
Mehunbare,20.58,74.95,994,301.21
Mendki,20.47,79.80,770,233.33
Menkaiser,18.35,75.65,1771,536.67
Merpalli,19.10,80.15,396,120.00
Merpalli,19.08,80.15,416,126.06
Metpanjra,21.27,78.68,1443,437.27
Metāla,20.68,76.20,1049,317.88
Mhaisgaon,18.13,75.50,1620,490.91
Mhasdi,20.88,74.43,1322,400.61
Mhasla,20.35,75.97,1883,570.61
Mhasla,18.13,73.12,305,92.42
Mhasrang,16.15,74.05,1961,594.24
Mhasurna,17.40,74.45,2217,671.82
Mhasva,20.88,75.15,830,251.52
Mhasvad,17.63,74.78,1942,588.48
Mhasve,20.88,75.15,830,251.52
Mhusla,18.13,73.12,305,92.42
Mhālas,19.05,75.87,1479,448.18
Miraj,16.83,74.63,1814,549.70
Miraj,16.83,74.63,1814,549.70
Mirajgaon,18.73,75.03,1820,551.52
Mire,19.27,72.88,160,48.48
Miri,19.28,74.97,1742,527.88
Mirya,17.02,73.27,0,0.00
Mission,19.43,74.90,1601,485.15
Mogra,21.47,79.32,1141,345.76
Moha,18.47,75.98,2240,678.79
Mohadi,21.02,74.90,725,219.70
Mohari,21.32,79.67,866,262.42
Mohod,17.62,75.10,1656,501.82
Mohod,17.62,75.10,1656,501.82
Mohoda,20.22,78.47,1079,326.97
Mohol,17.82,75.67,1496,453.33
Mohomandli,21.32,75.80,1574,476.97
Mohona,17.72,73.48,377,114.24
Mohore,16.87,74.15,1820,551.52
Mohorāla,21.23,75.67,882,267.27
Mohpa,21.32,78.82,1151,348.79
Mohurli,20.18,79.33,692,209.70
Mohāli,21.28,80.25,1040,315.15
Mojhri,21.05,78.02,1003,303.94
Mokhada,19.93,73.33,1240,375.76
Mominābād,18.73,76.38,2116,641.21
Mond,16.42,73.45,3,0.91
Moosrumgond,19.83,80.28,862,261.21
Mora,18.91,72.93,0,0.00
Morabgi,17.10,75.62,1728,523.64
Morala,17.18,74.70,2381,721.52
Moram,17.80,76.47,1932,585.45
Morath,19.78,77.70,944,286.06
More,18.35,72.93,3,0.91
Morewari,18.60,76.98,1745,528.79
Morgaon,18.28,74.32,2014,610.30
Morsi,21.34,78.01,1145,346.97
Mosam,19.32,80.05,416,126.06
Motāla,20.68,76.20,1049,317.88
Mowar,21.47,78.43,1292,391.52
Mudkhed,19.17,77.52,1217,368.79
Muhapullee,19.83,80.07,623,188.79
Mukapalli,19.83,80.07,623,188.79
Mukapullee,19.83,80.07,623,188.79
Mukher,18.70,77.37,1394,422.42
Mukti,20.87,74.95,843,255.45
Mukutban,19.80,78.85,685,207.58
Mulakhandpāda,18.87,72.95,29,8.79
Mulawa,19.68,77.57,1364,413.33
Mulher,20.77,74.07,2801,848.79
Mulhor,20.77,74.07,2801,848.79
Mumbai,18.98,72.83,91,27.58
Munavli,18.72,72.89,150,45.45
Mundgaon,21.05,76.99,987,299.09
Mundhevādi,17.73,75.72,1473,446.36
Mundhri,21.28,79.75,813,246.36
Mundhrī,21.28,79.75,813,246.36
Mundhva,18.53,73.93,1830,554.55
Mundhwa,18.53,73.93,1830,554.55
Mundīkota,21.37,79.83,839,254.24
Munnar,19.75,72.92,65,19.70
Murad,18.33,72.97,13,3.94
Muramgaon,20.32,80.45,1062,321.82
Murbad,19.25,73.40,272,82.42
Murdara,21.53,80.02,902,273.33
Murdoli,21.23,80.20,971,294.24
Murgud,16.40,74.20,1824,552.73
Murjha,20.33,79.92,656,198.79
Murpār,21.18,80.42,1069,323.94
Murtajapur,20.73,77.38,1013,306.97
Murtazapur,20.73,77.38,1013,306.97
Murud,18.33,72.97,13,3.94
Murud,18.42,76.23,2125,643.94
Murum,18.07,74.32,1797,544.55
Murūd,17.77,73.12,521,157.88
Musalmandi,18.19,72.99,16,4.85
Musalvadi,19.45,74.68,1660,503.03
Musrumgond,19.83,80.28,862,261.21
Muyyabompeta,19.10,79.87,360,109.09
Mādalmoi,19.17,75.70,1587,480.91
Mādha,18.02,75.52,1614,489.09
Māharjhari,21.23,79.02,1023,310.00
Māheji,20.78,75.42,780,236.36
Māhāgaon,20.22,77.90,1069,323.94
Māhīm,19.65,72.73,6,1.82
Māhīm,19.03,72.85,32,9.70
Māhūr,19.85,77.93,1151,348.79
Mājalgaon,19.15,76.23,1354,410.30
Mājri,20.13,79.03,633,191.82
Mālegaon,19.28,77.27,1190,360.61
Mālegaon,18.42,77.53,1437,435.45
Mālegaon,20.25,76.98,1679,508.79
Mālegaon,18.82,77.02,1574,476.97
Mālegaon,20.55,74.53,1400,424.24
Mālhiwri,19.97,77.87,1059,320.91
Mālkhed,20.82,77.88,1108,335.76
Mālkhed,20.43,77.90,1190,360.61
Mālsiras,17.87,74.92,1751,530.61
Mālvan,16.07,73.47,19,5.76
Mālvādi,19.78,74.08,2148,650.91
Mālād,19.18,72.83,26,7.88
Mālūnje,19.52,74.73,1617,490.00
Mālūnje,19.52,74.72,1591,482.12
Mālūnje,19.50,74.70,1607,486.97
Mānda,19.57,72.78,19,5.76
Māndgaon,20.67,78.87,754,228.48
Māndvi,19.48,72.90,42,12.73
Māndwe,19.33,74.35,1873,567.58
Mānegaon,17.98,75.65,1640,496.97
Mānikdaundi,19.08,75.15,2440,739.39
Mānjram,18.83,77.45,1249,378.48
Mānkhurd,19.05,72.93,13,3.94
Mārde,17.80,75.90,1525,462.12
Māregaon,20.10,78.82,853,258.48
Mārkandi,19.98,79.87,610,184.85
Mārvad,21.13,75.03,505,153.03
Mātergaon,20.85,76.55,823,249.39
Mātola,18.08,76.40,1981,600.30
Mātola,18.08,76.40,1981,600.30
Mātunga,19.03,72.85,32,9.70
Māyni,17.43,74.57,2368,717.58
Nachangaon,20.70,78.33,938,284.24
Nadgaon,17.47,73.62,203,61.52
Nagad,20.47,75.17,1082,327.88
Nagaj,17.13,74.93,2273,688.79
Nagaon,18.87,72.93,49,14.85
Nagaon,17.47,73.62,203,61.52
Nagaon,18.61,72.90,36,10.91
Nagaonkhar,18.60,72.92,55,16.67
Nagar,20.57,75.22,935,283.33
Nagardevia,20.57,75.22,935,283.33
Nagardhan,21.35,79.32,1000,303.03
Nagarsul,20.10,74.55,1938,587.27
Nagbhin,20.58,79.67,856,259.39
Nagbhir,20.58,79.67,856,259.39
Nagevadi,17.35,74.53,2244,680.00
Nagewari,18.35,76.85,1906,577.58
Nagjhari,19.05,75.23,2244,680.00
Nagothna,18.53,73.13,39,11.82
Nagpore,21.15,79.10,997,302.12
Nagpur,21.15,79.10,997,302.12
Nahvre,18.67,74.35,1876,568.48
Naigaum,19.00,72.83,72,21.82
Naigavhan,20.18,75.53,2047,620.30
Nakhalgaon,19.05,76.25,1341,406.36
Nalaigaon,18.42,76.82,1961,594.24
Naldrug,17.82,76.30,1856,562.42
Naldurg,17.82,76.30,1856,562.42
Nalegaon,18.42,76.82,1961,594.24
Nalni,20.17,75.88,1824,552.73
Nalwari,20.28,73.75,2103,637.27
Nampur,20.72,74.32,1797,544.55
Nanaj,18.60,75.32,1778,538.79
Nanaj,17.83,75.85,1643,497.88
Nanasi,20.35,73.62,2345,710.61
Nand,20.65,79.30,872,264.24
Nandair,19.15,77.33,1138,344.85
Nandari,21.12,75.18,528,160.00
Nanded,19.15,77.33,1138,344.85
Nanded,21.15,75.27,511,154.85
Nandgaon,18.38,72.92,0,0.00
Nandgaon,20.32,74.65,1528,463.03
Nandgaon,21.02,77.82,1145,346.97
Nandgaon,18.38,72.93,49,14.85
Nandgaon,20.68,77.82,1013,306.97
Nandgaon-Kazi,20.68,77.82,1013,306.97
Nandnee,17.45,75.87,1443,437.27
Nandra,21.12,75.47,580,175.76
Nandur,18.68,75.83,2165,656.06
Nandur,19.10,75.73,1584,480.00
Nandur,19.72,74.15,2125,643.94
Nandura,20.83,76.45,859,260.30
Nandurbar,21.37,74.25,688,208.48
Nanāgar,18.66,72.99,68,20.61
Naoghar,18.89,72.99,13,3.94
Narangwadi,17.97,76.58,2043,619.09
Narayanmaharaj,18.38,74.37,2089,633.03
Nardāna,21.20,74.82,557,168.79
Naringi,19.47,72.80,36,10.91
Narkhed,17.90,75.68,1515,459.09
Narkher,21.47,78.53,1309,396.67
Narmulli,18.02,74.78,1650,500.00
Narsi,19.75,77.02,1489,451.21
Narsingpur,17.98,75.12,1601,485.15
Nasik,19.98,73.80,1870,566.67
Nasik,20.33,73.88,2119,642.12
Nasirabad,21.00,75.67,679,205.76
Nasirabad,21.00,75.67,679,205.76
Nasrāpur,18.25,73.90,2244,680.00
Naude,19.05,73.10,42,12.73
Naudi,17.33,74.03,1870,566.67
Naugaon,19.42,75.52,1404,425.45
Navalyal,16.75,74.90,1820,551.52
Navapur,21.15,73.80,416,126.06
Navdi,17.17,73.57,695,210.61
Navdi,17.33,74.03,1870,566.67
Navedar,18.71,72.87,52,15.76
Navkhār,18.52,73.00,65,19.70
Nawargaon,20.37,79.58,721,218.48
Nawargaon,20.37,79.58,721,218.48
Nawegaon,20.02,79.98,629,190.61
Nawegaon,20.37,79.58,721,218.48
Nawegaon,20.92,80.10,958,290.30
Nawergaon,20.37,79.58,721,218.48
Naydongri,20.35,74.82,1374,416.36
Nayegaon,18.85,77.53,1141,345.76
Neori,17.12,73.30,101,30.61
Ner,20.93,74.52,1082,327.88
Ner,20.48,77.87,1223,370.61
Ner,21.19,77.98,1138,344.85
Neral,19.03,73.32,131,39.70
Neri,20.83,75.67,813,246.36
Neria,17.10,74.23,1814,549.70
Nerla,17.10,74.23,1814,549.70
Nerur,15.98,73.65,177,53.64
Nesari,16.07,74.33,2391,724.55
Nethersole,18.85,73.57,2135,646.97
Neupur,20.38,75.33,2171,657.88
Nevra,17.12,73.30,101,30.61
Nevāsa,19.53,74.93,1574,476.97
Nhāve,18.95,72.97,22,6.67
Nibnutvadi,17.47,74.72,2391,724.55
Nidi,18.53,72.96,39,11.82
Nigda,17.20,73.90,2650,803.03
Nighaw,19.18,77.87,1197,362.73
Nighoj,18.97,74.28,1994,604.24
Nighwa,19.18,77.87,1197,362.73
Nigri,17.65,74.20,2181,660.91
Nigudghar,18.12,73.73,2043,619.09
Nilanga,18.10,76.77,1912,579.39
Nilkat,18.50,76.28,2122,643.03
Nimb,17.78,74.00,2217,671.82
Nimbal,17.37,76.38,1489,451.21
Nimbala,18.03,76.77,1965,595.45
Nimbala,17.37,76.38,1489,451.21
Nimbavda,17.47,74.87,1958,593.33
Nimbgaon,18.57,75.15,1788,541.82
Nimbgaon,19.57,74.38,1791,542.73
Nimbhora,21.17,75.97,784,237.58
Nimbhora,21.17,75.97,784,237.58
Nimbhora,21.17,75.97,784,237.58
Nimla,19.10,76.85,1210,366.67
Nimon,19.72,74.20,2099,636.06
Nimpani,16.40,74.38,1922,582.42
Nimsakhar,18.02,74.77,1660,503.03
Nimskhar,18.02,74.77,1660,503.03
Nimsod,17.47,74.47,2267,686.97
Nipani,16.40,74.38,1922,582.42
Niphad,20.08,74.12,1794,543.64
Nira,17.98,75.12,1601,485.15
Nirmal,19.40,72.77,9,2.73
Nirvāda,21.30,75.35,741,224.55
Nitrūr,19.02,76.18,1469,445.15
Nitur,18.23,76.77,2020,612.12
Nizāmpur,18.32,73.32,219,66.36
Nizāmpur,21.12,74.33,1404,425.45
Nohare,16.87,74.15,1820,551.52
Nul,16.22,74.43,2050,621.21
Numbai,18.98,72.83,91,27.58
Nyahalode,20.98,74.85,656,198.79
Nāchanvāla,20.30,75.43,2093,634.24
Nāgansūr,17.40,76.17,1482,449.09
Nāgothana,18.53,73.13,39,11.82
Nāgri,20.42,78.87,734,222.42
Nāgzan,18.67,72.97,65,19.70
Nāgāpur,18.87,76.43,1538,466.06
Nāgāpur,20.38,75.25,2270,687.88
Nāla,21.58,74.07,449,136.06
Nāndalgaon,19.13,75.97,1417,429.39
Nānder,19.15,77.33,1138,344.85
Nāndori,20.53,78.97,810,245.45
Nāndra,21.12,75.47,580,175.76
Nāndur,19.72,74.15,2125,643.94
Nāndūr,20.83,76.45,859,260.30
Nāndūra,20.83,76.45,859,260.30
Nānnaj,19.68,74.25,2083,631.21
Nānwell,18.27,72.95,610,184.85
Nārāyangaon,19.12,73.98,2139,648.18
Nātambi,18.12,73.80,2204,667.88
Nāteputa,17.90,74.77,1788,541.82
Nāwandi,18.78,77.43,1220,369.70
Nīmba,19.10,76.45,1295,392.42
Nīmbgaon,18.08,74.92,1758,532.73
Nīmgaon,20.43,74.57,1453,440.30
Ojhai,20.10,73.93,1886,571.52
Ojhar,20.10,73.93,1886,571.52
Osmānnagar,18.97,77.30,1407,426.36
Osmānābād,18.17,76.05,2122,643.03
Otūr,19.27,73.98,2198,666.06
Pabal,18.82,74.07,2221,673.03
Pachamba,17.27,73.65,593,179.70
Pachegaon,20.95,78.28,1030,312.12
Pachkheri,20.93,79.50,859,260.30
Pachud,19.55,75.63,1568,475.15
Pachud,19.57,75.65,1489,451.21
Padgha,19.37,73.18,95,28.79
Padghe,19.37,73.18,95,28.79
Padmapur,20.05,79.30,639,193.64
Padoli,18.20,76.27,2073,628.18
Padsali,16.70,73.85,1981,600.30
Pahapal,19.98,78.50,843,255.45
Pahla,21.02,79.67,895,271.21
Pahur,20.70,75.68,1013,306.97
Paidhi,20.75,75.67,961,291.21
Paithan,19.48,75.38,1502,455.15
Palasdev,18.25,74.90,1637,496.06
Palaskhed,18.67,76.25,2096,635.15
Palasner,21.53,75.03,944,286.06
Palavna,17.90,73.23,862,261.21
Palavni,17.90,73.23,862,261.21
Palghar,19.68,72.75,22,6.67
Pali,16.98,73.48,679,205.76
Pali,19.67,73.08,98,29.70
Pali,18.53,73.23,111,33.64
Pali,18.92,75.75,1811,548.79
Palshet,17.43,73.20,242,73.33
Palsi,17.22,74.83,2883,873.64
Palsi,17.82,74.12,2545,771.21
Palso,20.77,77.23,931,282.12
Palus,17.08,74.47,1850,560.61
Palāndur,20.85,80.25,882,267.27
Panchagani,17.92,73.82,4242,1285.45
Panchgaon,19.68,79.50,531,160.91
Panchgaon,21.02,79.17,1000,303.03
Pandara,18.13,74.47,1751,530.61
Pande,18.38,75.23,1801,545.76
Pandharpur,17.67,75.33,1502,455.15
Pandhuri,19.83,73.85,1843,558.48
Pandhurli,19.83,73.85,1843,558.48
Pandāre,18.13,74.47,1751,530.61
Pangaon,18.13,75.73,1627,493.03
Pangaon,18.63,76.63,2060,624.24
Pangari,17.73,73.28,564,170.91
Panhāla,16.82,74.12,2473,749.39
Panvas,16.85,73.33,118,35.76
Panvel,18.98,73.10,91,27.58
Panwel,18.98,73.10,91,27.58
Para,17.22,75.27,2053,622.12
Para,18.63,75.83,2253,682.73
Parali,19.72,73.25,390,118.18
Paras,20.72,76.82,905,274.24
Paratwade,21.30,77.52,1236,374.55
Paratwāda,21.30,77.52,1236,374.55
Parbaini,19.27,76.78,1335,404.55
Parbhani,19.27,76.78,1335,404.55
Parchuri,17.57,73.30,685,207.58
Pardi,20.20,77.25,1768,535.76
Parel,19.00,72.83,72,21.82
Parenda,18.27,75.47,1686,510.91
Pargan,18.46,72.95,862,261.21
Parhur,18.71,72.92,157,47.58
Parincha,18.20,74.10,2178,660.00
Parinche,18.20,74.10,2178,660.00
Parli,18.85,76.53,1509,457.27
Parli,18.85,76.53,1509,457.27
Parner,19.00,74.43,2588,784.24
Parola,20.88,75.12,856,259.39
Parsipada,19.92,73.00,196,59.39
Parsopant,20.48,77.87,1223,370.61
Partur,19.60,76.22,1440,436.36
Parwa,19.98,78.33,780,236.36
Pasali,18.23,73.60,2217,671.82
Patala,20.12,79.00,646,195.76
Patan,20.90,79.00,859,260.30
Patansaongi,21.33,79.03,994,301.21
Patas,18.43,74.47,1840,557.58
Patgaon,16.12,73.95,2352,712.73
Pathri,20.20,79.82,646,195.76
Pathri,19.25,76.45,1387,420.30
Pathrot,21.22,77.36,1236,374.55
Pathrud,18.55,75.55,2050,621.21
Patoda,18.80,75.48,2358,714.55
Patoda,18.57,77.18,1610,487.88
Patode,20.12,74.37,1850,560.61
Patonda,21.12,75.20,528,160.00
Patsul,20.98,77.02,892,270.30
Paturda,20.95,76.72,793,240.30
Paud,18.52,73.60,2473,749.39
Paunar,20.78,78.67,826,250.30
Pauni,20.78,79.63,741,224.55
Pawnar,20.78,78.67,826,250.30
Phagne,20.88,74.83,797,241.52
Phaltan,17.98,74.43,1863,564.55
Phardapur,20.58,75.72,1276,386.67
Phatepur,21.67,74.45,570,172.73
Phonda,16.38,73.82,895,271.21
Phoperikhār,18.74,72.95,29,8.79
Phoplivadi,18.41,72.98,515,156.06
Phulambri,20.10,75.42,2106,638.18
Phulsangvi,19.72,77.90,908,275.15
Phursangi,18.47,73.98,1932,585.45
Phursungi,18.47,73.98,1932,585.45
Phustola,20.05,80.23,751,227.58
Poghāt,20.40,77.35,1358,411.52
Pohara,21.03,79.83,836,253.33
Pohegaon,19.80,74.40,1715,519.70
Pohegaon,19.80,74.40,1715,519.70
Pohna,20.35,78.73,731,221.52
Pohogaon,19.80,74.40,1715,519.70
Pohor,20.88,77.88,1276,386.67
Pohrā,21.03,79.83,836,253.33
Poinad,18.68,72.99,59,17.88
Pomalvadi,18.28,74.95,1656,501.82
Pombhurla,16.50,73.53,708,214.55
Pomurna,19.87,79.63,593,179.70
Poona,18.53,73.87,1870,566.67
Poona,18.53,73.83,1896,574.55
Pulgaon,20.73,78.33,935,283.33
Pulunj,17.65,75.53,1499,454.24
Puna,18.53,73.87,1870,566.67
Pune,18.53,73.87,1870,566.67
Puntamba,19.75,74.60,1584,480.00
Punwat,19.93,79.07,610,184.85
Pural,16.45,73.37,0,0.00
Purandhar,18.28,73.98,3467,1050.61
Purangad,16.82,73.32,19,5.76
Purangarh,16.82,73.32,19,5.76
Purkahur,19.48,80.47,1076,326.06
Purla,20.32,79.97,659,199.70
Purli,18.85,76.53,1509,457.27
Purli,18.85,76.53,1509,457.27
Purngad,16.82,73.32,19,5.76
Pusad,19.90,77.58,1033,313.03
Pusegaon,17.72,74.33,2670,809.09
Pusesavli,17.47,74.33,2391,724.55
Pusla,21.50,78.35,1338,405.45
Prakāsha,21.52,74.37,374,113.33
Pravara,19.62,75.02,1558,472.12
Rahata,19.72,74.48,1692,512.73
Raher,18.90,77.67,1092,330.91
Rahimatpur,17.60,74.20,2155,653.03
Rahu,21.71,77.44,1673,506.97
Rahunatpur,17.60,74.20,2155,653.03
Rahuri,19.38,74.65,1676,507.88
Raigaon,17.42,74.32,2352,712.73
Raimoh,18.98,75.50,1909,578.48
Raipur,21.58,77.27,1699,514.85
Raipur,20.40,76.15,2027,614.24
Raipur,21.08,73.83,610,184.85
Raireshwar,18.05,73.73,3786,1147.27
Raisingpur,21.57,73.93,462,140.00
Rajale,18.03,74.57,1745,528.79
Rajanvadi,16.60,73.92,2568,778.18
Rajapur,20.17,74.63,2086,632.12
Rajapur,16.67,73.52,236,71.52
